product_id,product_title,rating,total_reviews,price,top_reviews
itmf7d9a6db35ddd,"Apple iPhone 14 Pro Max (Deep Purple, 512 GB)",4.7,166,"₹1,64,900","5 Just wow! Finally after long wait I got my 512 GB IPhone 14 Pro Max, Deep Purple Colour. Superb Camera quality. Looks Premium. Upgraded from IPhone XR. Battery backup is nice. Thank you Flipkart for timely delivery. READ MORE Sandhya Rani Mohapatra Certified Buyer , Bhubaneswar Oct, 2022 19722 2924 Permalink Report Abuse"
itmc9604f122ae7f,"Apple iPhone 13 (Starlight, 128 GB)",4.6,"13,988","₹44,999","5 Terrific Happy to have this phone READ MORE Flipkart Customer Certified Buyer , Parasi Nov, 2021 5032 705 Permalink Report Abuse"
